Date,Country,City,Lat,Lon,Max Tem,Cloudiness,Humidity,Wind Speed
1586647860,PG,Samarai,-10.62,150.67,83.59,89,57,4.25
1586647860,MG,Sambava,-14.27,50.17,75.16,10,83,9.64
1586647628,CL,Ancud,-41.87,-73.82,46.4,20,75,6.93
1586647860,VN,Soc Trang,9.6,105.98,81.32,11,67,5.01
1586647786,HK,Hong Kong,22.29,114.16,66.99,20,68,18.34
1586647861,US,Lompoc,34.64,-120.46,71.01,75,72,14.99
1586647575,ZA,Port Alfred,-33.59,26.89,63.0,80,93,1.99
1586647689,AU,Alice Springs,-23.7,133.88,69.8,41,26,4.7
1586647708,PG,Port Moresby,-9.44,147.18,83.68,84,70,7.09
1586647617,ZA,Bredasdorp,-34.53,20.04,69.8,100,52,23.04
1586647861,RU,Serebryanyy Bor,56.8,124.8,36.34,98,65,3.13
1586647573,US,Albany,42.6,-73.97,46.99,20,28,19.46
1586647861,ML,Tombouctou,20.0,-3.0,86.85,0,11,6.93
1586647562,VU,Isangel,-19.55,169.27,84.2,20,58,5.48
1586647861,CI,Mankono,8.06,-6.19,77.72,61,60,4.88
1586647861,US,Bethel,41.37,-73.41,53.01,20,26,9.17
1586647862,GB,Margate,51.38,1.39,57.0,41,81,4.7
1586647864,ID,Ambon City,-3.7,128.18,82.4,40,83,3.36
1586647864,RU,Talnakh,69.49,88.4,33.8,75,93,31.32
1586647864,RU,Dikson,73.51,80.55,14.09,100,96,13.71
1586647771,BR,Manacapuru,-3.3,-60.62,77.0,75,88,3.36
1586647865,BR,Rio Grande,-32.03,-52.1,61.0,0,88,10.0
1586647865,EC,Puerto Ayora,-0.74,-90.35,84.2,75,70,10.29
1586647865,LK,Weligama,5.97,80.42,76.32,10,87,3.31
1586646989,CA,La Ronge,55.1,-105.28,19.4,75,52,16.11
1586647865,CL,Lebu,-37.62,-73.65,53.51,0,70,15.1
1586647732,ZA,Cape Town,-33.93,18.42,64.99,90,93,19.46
1586647865,CN,Huilong,31.81,121.66,55.0,27,73,1.01
1586647865,RU,Bakchar,57.02,82.07,30.97,25,97,4.0
1586647866,KI,Butaritari,3.07,172.79,84.04,88,74,10.36
1586647285,BO,Santa Cruz de la Sierra,-17.8,-63.17,82.4,0,37,5.82
1586647866,NO,Havøysund,71.0,24.66,30.2,82,80,6.93
1586647866,ML,Araouane,18.9,-3.53,82.09,0,13,1.36
1586647867,NZ,Kaitangata,-46.28,169.85,61.84,96,56,10.56
1586647867,ID,Srandakan,-7.94,110.25,79.93,76,76,2.51
1586647868,GL,Maniitsoq,65.42,-52.9,37.96,95,75,7.2
1586647868,GL,Ilulissat,69.22,-51.1,28.4,90,74,8.05
1586647868,RU,Selenginsk,52.01,106.86,30.2,100,63,4.47
1586647822,CA,Clyde River,70.47,-68.59,5.0,20,84,10.29
1586647839,CL,Constitución,-35.33,-72.42,52.86,61,83,11.39
1586647196,ID,Denpasar,-8.65,115.22,78.8,20,94,6.93
1586647812,CA,Thompson,55.74,-97.86,23.0,90,67,14.99
1586647868,NZ,Whitianga,-36.83,175.7,71.01,36,71,7.0
1586647868,GF,Cayenne,4.93,-52.33,80.6,20,74,6.93
1586647869,TL,Airai,-8.93,125.41,65.73,96,69,1.97
1586647869,ZW,Mutoko,-17.4,32.23,58.48,100,68,0.56
1586647872,US,Kapaa,22.08,-159.32,78.8,90,69,5.82
1586647872,DK,Rønne,55.1,14.71,44.6,100,87,21.92
1586647873,AR,Mar del Plata,-38.0,-57.56,62.01,69,72,3.36
1586647873,MX,Rodolfo Sánchez Taboada,31.72,-116.57,64.0,59,80,4.0
1586647873,PT,Ribeira Grande,38.52,-28.7,61.66,0,73,6.62
1586647276,CV,São Filipe,14.9,-24.5,75.38,93,74,9.22
1586647664,ZA,Port Elizabeth,-33.92,25.57,62.6,92,63,5.82
1586647873,BO,Chulumani,-16.41,-67.53,60.55,65,48,1.57
1586647873,AU,Mount Gambier,-37.83,140.77,55.4,90,62,8.05
1586647873,JM,Morant Bay,17.88,-76.41,84.2,20,79,18.34
1586647877,US,Monterey,36.25,-121.25,70.0,90,71,12.75
1586647878,US,Kahului,20.89,-156.47,82.4,40,58,12.75
1586647878,RU,Mokhsogollokh,61.47,128.92,34.48,98,90,7.83
1586647878,BR,Entre Rios,-11.94,-38.08,74.77,98,87,3.98
1586647878,RU,Pevek,69.7,170.31,9.79,44,91,14.54
1586647878,TM,Farap,39.17,63.61,60.8,90,100,9.17
1586647878,AU,Launceston,-41.45,147.17,55.99,40,76,5.82
1586647289,US,Havelock,34.88,-76.9,62.6,1,47,11.41
1586647878,MX,San Ignacio Río Muerto,27.42,-110.23,75.2,5,31,11.41
1586647812,MX,Cabo San Lucas,22.89,-109.91,77.0,75,56,17.22
1586647639,CA,Gravenhurst,44.92,-79.37,43.0,1,41,8.05
1586647757,CZ,Žatec,50.33,13.55,48.0,7,56,3.36
1586647879,SJ,Longyearbyen,78.22,15.64,-7.6,20,76,1.12
1586647879,BR,Coruripe,-10.13,-36.18,80.92,46,79,11.32
1586647879,MU,Souillac,-20.52,57.52,78.01,75,83,5.82
1586647879,YE,Muhafazat Lahij,13.17,44.58,77.25,23,66,4.92
1586647879,MX,Coahuayana Viejo,18.73,-103.68,84.2,5,51,11.41
1586647879,JP,Hirado,33.36,129.55,51.8,75,87,2.24
1586647294,RU,Petropavlovsk-Kamchatskiy,53.05,158.65,33.8,64,55,4.47
1586647879,RU,Perelyub,51.87,50.37,42.64,91,61,14.32
1586647627,RE,Saint-Philippe,-21.36,55.77,77.0,26,78,5.82
1586647880,IN,Ambikāpur,23.12,83.2,72.66,0,23,1.03
1586647843,AU,Geraldton,-28.77,114.6,66.2,75,100,6.26
1586647880,IN,Gadwāl,16.23,77.8,76.35,0,38,1.68
1586647880,IN,Sirpur,19.48,79.6,79.61,0,18,3.56
1586647800,MX,Lázaro Cárdenas,17.96,-102.2,82.45,51,62,5.61
1586647793,BR,Olinda,-8.01,-34.86,84.2,20,70,9.17
1586647881,RU,Saskylakh,71.92,114.08,1.13,11,90,12.41
1586647881,AR,Rawson,-43.3,-65.1,55.98,0,38,5.35
1586647881,RU,Vostok,46.49,135.88,37.62,34,51,4.59
1586647708,GL,Upernavik,72.79,-56.15,19.35,100,88,1.74
1586647282,MY,Mersing,2.43,103.84,77.0,81,94,2.24
1586647881,NZ,Te Anau,-45.42,167.72,59.94,56,64,8.41
1586647882,BR,Flores da Cunha,-29.03,-51.18,57.99,1,72,2.77
1586647883,SO,Oddur,4.12,43.89,75.7,14,71,13.06
1586647285,US,Laguna,38.42,-121.42,72.0,1,63,9.17
1586647294,US,Sitka,57.05,-135.33,44.6,20,48,4.7
1586647883,GB,Hastings,50.86,0.57,54.0,19,81,4.7
1586647883,RU,Naryan-Mar,67.67,53.09,12.04,84,95,9.53
1586647883,SA,Abhā,18.22,42.51,64.4,20,59,4.14
1586647883,MU,Grand Gaube,-20.01,57.66,78.01,75,83,5.82
1586647883,ZA,Saldanha,-33.01,17.94,60.8,99,93,16.11
1586647883,RU,Lavrentiya,65.58,-171.0,32.43,95,96,12.46
1586647883,IT,Santa Flavia,38.09,13.54,53.01,2,88,1.01
1586647884,FI,Forssa,60.81,23.62,34.0,99,74,3.36
1586647704,AO,Mossamedes,-15.2,12.15,77.25,10,62,3.69
1586647602,AU,Broken Hill,-31.95,141.43,51.8,0,57,13.87
1586647884,ES,Aranda de Duero,41.67,-3.69,52.21,97,61,5.59
1586647884,VE,San Cristobal,7.77,-72.22,89.6,40,43,18.34
1586647884,BR,Jutaí,-5.18,-68.9,76.23,88,92,0.85
1586647884,CA,Port Hardy,50.7,-127.42,55.4,20,32,5.82
1586647884,NI,Waspán,14.74,-83.97,82.4,75,78,13.87
1586647884,EG,Maţāy,28.42,30.78,61.59,0,56,11.05
1586647218,PF,Tautira,-17.73,-149.15,87.8,100,66,6.93
1586647885,MG,Beloha,-25.17,45.05,72.99,95,70,9.62
1586647867,CN,Xining,36.62,101.77,38.97,6,22,2.1
1586647885,NG,Funtua,11.52,7.31,76.84,100,16,6.49
1586647293,AU,Batemans Bay,-35.72,150.18,66.0,1,44,1.99
1586647885,CN,Tahe,52.33,124.73,49.35,0,46,3.22
1586647885,BB,Bathsheba,13.22,-59.52,80.6,40,69,12.75
1586647081,RU,Ostrovnoy,68.05,39.51,15.42,28,93,12.17
1586647885,MX,Saucillo,28.02,-105.28,80.24,4,8,31.47
1586647885,NZ,Hokitika,-42.72,170.97,59.07,100,79,15.43
1586647740,IR,Birjand,32.87,59.22,62.6,90,55,4.7
1586647890,UY,Chui,-33.7,-53.46,62.35,17,76,6.42
1586647781,AU,Carnarvon,-24.87,113.63,75.2,14,100,12.75
1586647606,CA,Sept-Îles,50.2,-66.38,41.0,75,35,11.41
1586647890,SA,Umluj,25.02,37.27,67.73,2,54,9.62
1586647890,PG,Mendi,-6.18,143.65,71.19,38,36,2.08
1586647890,AU,Ulladulla,-35.35,150.47,66.0,0,44,11.41
1586647890,CO,San Andrés,12.58,-81.7,84.2,40,79,11.41
1586647890,PE,San Isidro,-12.12,-77.05,73.4,75,78,11.41
1586647770,CA,Aklavik,68.22,-135.01,24.8,5,49,8.05
1586647891,PE,San Jerónimo,-11.95,-75.28,53.38,95,25,1.12
1586647859,AU,Kingaroy,-26.53,151.83,73.99,0,38,11.41
1586647891,PF,Faanui,-16.48,-151.75,82.58,46,76,14.16
1586647891,NO,Hammerfest,70.66,23.68,30.2,100,80,6.93
1586647892,CA,Torbay,47.67,-52.73,36.0,90,74,20.8
1586647892,FO,Klaksvík,62.23,-6.59,41.0,100,93,27.51
1586647892,CA,Goderich,43.75,-81.72,51.01,19,55,5.99
1586647893,IN,Rājpīpla,21.87,73.5,82.02,3,20,3.24
1586647615,US,Pacific Grove,36.62,-121.92,69.01,90,67,6.93
1586647893,RU,Egvekinot,66.32,-179.17,18.52,0,82,1.45
1586647893,NE,Ayorou,14.73,0.92,86.77,21,20,6.46
1586647893,BR,Arraial do Cabo,-22.97,-42.03,73.24,99,73,4.52
1586647893,PT,Ponta do Sol,32.67,-17.1,62.6,40,67,12.75
1586647893,IT,Sorrento,40.63,14.37,57.99,0,87,2.24
1586647893,RU,Baryatino,54.31,34.52,29.93,0,89,5.59
1586647893,SS,Bentiu,9.23,29.83,89.24,79,28,0.89
1586647826,US,Kenai,60.55,-151.26,39.2,1,47,13.87
1586647893,AU,Yulara,-25.24,130.99,75.2,100,27,8.05
1586647893,SO,Garoowe,8.41,48.48,75.69,5,67,10.69
1586647894,MN,Ulaangom,49.98,92.07,27.57,64,73,2.55
1586647654,CA,Saint-Augustin,51.23,-58.65,31.12,96,98,5.97
1586647766,UY,Rocha,-34.48,-54.33,57.9,48,85,5.64
1586647894,RU,Nikolskoye,59.7,30.79,26.6,3,92,2.24
1586647894,PY,Mayor Pablo Lagerenza,-19.93,-60.77,71.19,0,40,3.15
1586647894,MR,Nouadhibou,20.93,-17.03,68.0,0,68,21.92
1586647894,NO,Raudeberg,61.99,5.14,46.0,100,100,20.8
1586647767,AU,Port Keats,-14.25,129.55,81.61,96,72,10.4
1586647894,NA,Khorixas,-20.37,14.97,75.47,14,42,3.98
1586647894,FR,Arrondissement d'Arcachon,44.59,-1.05,59.0,82,87,3.36
1586647894,NC,Vao,-22.67,167.48,76.5,35,73,12.95
1586647840,BR,Boa Vista,2.82,-60.67,89.6,40,49,11.41
1586647895,CA,Iqaluit,63.75,-68.51,24.8,90,73,13.87
1586647895,IS,Grindavik,63.84,-22.43,37.4,75,81,13.87
1586647895,IS,Hofn,64.25,-15.21,39.2,20,55,21.92
1586647895,ID,Bengkulu,-3.8,102.27,79.16,31,81,4.65
1586647665,BR,Maceió,-9.67,-35.74,78.8,31,88,5.82
1586647895,NO,Grong,64.47,12.31,33.53,100,90,4.68
1586647895,NG,Lere,10.39,8.57,78.08,100,19,2.48
1586647895,PH,Bacolod City,10.67,122.95,81.88,19,66,2.93
1586647642,JP,Katsuura,35.13,140.3,53.01,75,93,10.29
1586647895,ID,Merauke,-8.47,140.33,84.76,58,71,7.92
1586647895,RU,Shirokiy,49.76,129.52,47.37,0,61,6.55
1586647895,FR,Cherbourg-en-Cotentin,49.64,-1.61,55.4,0,62,5.82
1586647896,NO,Vardø,70.37,31.11,26.24,46,92,8.48
1586647896,ID,Tondano,1.3,124.91,75.2,20,94,1.12
1586647146,IN,Kavaratti,10.57,72.64,84.04,4,69,4.61
1586647896,IS,Vestmannaeyjar,63.44,-20.27,43.29,100,88,11.14
1586647630,RU,Provideniya,64.38,-173.3,32.81,100,92,6.91
1586647896,CA,Provost,52.35,-110.27,21.58,100,86,15.77
1586647891,GD,St. George's,12.06,-61.75,78.71,17,78,16.26
1586647633,US,Saint Paul Harbor,57.79,-152.41,41.0,90,80,18.34
1586647896,CD,Mwene-Ditu,-7.0,23.45,67.35,98,76,3.33
1586647637,AU,Esperance,-33.87,121.9,71.6,40,56,19.46
1586647896,RU,Cherskiy,68.75,161.3,19.6,99,96,14.63
1586647897,CA,Havre-St-Pierre,50.23,-63.6,33.8,1,74,9.17
1586647897,US,Los Alamos,35.89,-106.31,66.2,1,9,18.34
1586647897,CN,Kumul,42.8,93.45,52.66,32,23,3.56
1586647897,RU,Khatanga,71.97,102.5,8.1,66,94,8.23
1586647901,TM,Balkanabat,39.51,54.37,54.21,0,59,3.98
1586647901,XK,Gnjilane,42.46,21.47,51.8,19,65,3.36
1586647901,US,Avera,33.19,-82.53,73.4,1,26,4.7
1586647901,AU,Maryborough,-25.53,152.7,79.0,10,51,8.99
1586647740,BR,São João da Barra,-21.64,-41.05,71.76,99,90,16.22
1586647901,RU,Tiksi,71.69,128.87,8.04,66,91,18.25
1586647856,US,Fairbanks,64.84,-147.72,44.6,1,30,5.82
1586647767,ES,Puerto del Rosario,28.5,-13.86,66.2,24,68,10.29
1586647901,CG,Ouésso,1.61,16.05,70.81,100,87,3.56
1586647901,UA,Markova,48.68,24.41,35.4,7,66,2.13
1586647901,SB,Gizo Government Station,-8.1,156.84,86.81,90,68,4.14
1586647902,RU,Kopanskaya,46.28,38.48,43.97,25,68,10.45
1586647902,EG,Esna,25.29,32.55,64.4,0,45,6.35
1586647903,RU,Marfino,55.7,37.38,30.2,1,79,6.71
1586647812,US,Hamilton,39.18,-84.53,61.0,1,33,9.17
1586647697,AU,Mount Isa,-20.73,139.5,75.2,13,17,5.82
1586647903,RU,Verkhnevilyuysk,63.45,120.32,31.01,99,96,10.13
1586647903,RU,Bilibino,68.05,166.44,14.2,91,89,3.76
1586647905,ML,Koutiala,12.39,-5.46,88.25,64,33,7.29
1586647905,FI,Iisalmi,63.56,27.19,24.8,54,79,4.7
1586647905,PW,Kloulklubed,7.04,134.26,84.2,75,74,8.05
1586647905,CD,Kikwit,-5.04,18.82,72.86,88,80,1.12
1586647905,US,Dickinson,29.46,-95.05,75.99,90,83,18.34
1586647905,SO,Hobyo,5.35,48.53,81.97,4,75,11.1
1586647905,BR,Itarema,-2.92,-39.92,79.23,100,86,5.5
1586647906,US,Half Moon Bay,37.46,-122.43,69.01,90,87,6.93
1586647906,SB,Auki,-8.77,160.7,85.33,91,67,2.66
1586647906,PT,Lata,40.16,-8.33,57.99,75,87,3.36
1586647906,MX,San Lucas,16.6,-92.72,98.6,75,37,13.87
1586647608,BR,Vila Velha,-20.33,-40.29,77.0,90,83,8.05
1586647906,IN,Rasrā,25.85,83.85,78.22,8,23,4.07
1586647906,BO,Mapiri,-15.25,-68.17,69.21,58,54,0.76
1586647910,MX,Ocampo,21.65,-101.5,76.6,61,8,19.06
1586647910,RU,Sasovo,54.35,41.92,33.78,97,83,14.0
1586647910,RU,Krasnogorskoye,52.3,86.2,31.15,38,90,1.72
1586647913,BR,Porto Walter,-8.27,-72.74,75.43,100,89,0.45
1586647913,PE,Sechura,-5.56,-80.82,77.65,60,66,15.97
1586647913,SL,Bonthe,7.53,-12.51,81.55,71,79,3.65
1586647913,SB,Kirakira,-10.45,161.92,85.53,94,70,7.72
1586647913,RU,Platonovka,52.71,41.95,34.95,100,81,14.88
1586647913,AU,Port Hedland,-20.32,118.57,75.2,5,64,6.93
1586647837,NE,Bilma,18.69,12.92,77.07,100,16,5.01
1586647914,CA,Norman Wells,65.28,-126.83,28.4,20,50,10.29
1586647914,BR,Cidreira,-30.18,-50.21,65.75,4,70,5.32
1586647914,NC,Poum,-20.23,164.02,79.83,56,71,12.17
1586647914,CA,Port Hawkesbury,45.62,-61.35,39.0,90,80,4.7
1586647914,US,Kingman,35.19,-114.05,77.0,1,32,18.34
1586647914,BR,Carutapera,-1.2,-46.02,80.26,100,87,8.57
1586647840,SA,Riyadh,24.69,46.72,73.4,40,28,8.05
1586647915,RU,Verkhnyaya Balkariya,43.13,43.46,42.01,75,93,4.47
1586647812,CL,Valparaíso,-33.04,-71.63,60.8,100,72,4.7
1586647915,MW,Lilongwe,-13.97,33.79,60.69,60,69,2.48
1586647763,RU,Tilichiki,60.47,166.1,14.0,4,90,5.17
1586647916,LK,Hambantota,6.12,81.12,79.93,16,80,8.79
1586647916,PG,Namatanai,-3.67,152.43,83.75,100,73,1.79
1586647916,CL,Coquimbo,-29.95,-71.34,60.8,82,82,11.41
1586647877,NO,Roald,62.58,6.13,45.0,90,100,23.04
1586647916,NE,Maïné Soroa,13.21,12.02,80.04,97,16,9.62
1586647918,MU,Mahébourg,-20.41,57.7,78.01,75,83,5.82
1586647918,RU,Solnechnyy,50.72,136.63,43.68,22,53,5.17
1586647918,RU,Ust'-Ilimsk,58.0,102.66,32.67,0,82,1.86
1586647918,JP,Ōme,35.78,139.24,51.01,90,87,10.29
1586647845,AU,Adelaide,-34.93,138.6,61.0,90,51,8.05
1586647919,MX,San Patricio,19.22,-104.7,86.0,40,74,9.17
1586647919,MV,Thinadhoo,0.53,72.93,83.97,0,63,4.54
1586647919,PG,Kavieng,-2.57,150.8,83.82,93,72,2.33
1586647919,US,Brookhaven,31.58,-90.44,75.2,1,47,12.75
1586647919,ID,Katobu,-4.94,122.53,75.76,100,93,1.7
1586647919,AU,Ballina,-28.87,153.57,71.6,0,49,13.87
1586647919,GL,Nanortalik,60.14,-45.24,36.54,100,77,33.8
1586647919,RU,Sharan,54.82,54.0,38.8,100,84,10.42
1586647920,CN,Xinyu,27.8,114.93,51.73,9,73,4.54
1586647920,CN,Korla,41.76,86.15,59.0,69,42,4.0
1586647920,RU,Syamzha,60.02,41.06,25.07,0,92,3.22
1586647920,RU,Zabaykal'sk,49.63,117.32,50.92,0,29,6.98
1586647920,AU,Flinders,-34.58,150.86,64.99,0,44,11.41
1586647789,GL,Tasiilaq,65.61,-37.64,26.6,85,53,12.75
1586647741,NA,Windhoek,-22.56,17.08,63.0,0,87,4.7
1586647921,ES,Calvià,39.57,2.51,57.99,84,58,5.82
1586647921,AR,Mercedes,-34.65,-59.43,66.0,28,37,5.32
1586647921,PT,Ponta Delgada,37.73,-25.67,57.2,20,82,12.75
1586647921,IN,Pāsighāt,28.07,95.33,68.61,3,46,3.42
1586647922,CN,Dongsheng,39.82,109.98,40.1,0,29,4.7
1586647922,RU,Artyshta,54.12,86.29,30.45,7,86,2.01
1586647922,TD,Kibala,9.11,18.35,79.61,99,51,5.28
1586647923,CA,Nanton,50.35,-113.77,28.0,94,60,11.01
1586647923,NO,Sistranda,63.73,8.83,44.01,75,93,17.22
1586647924,RU,Magadan,59.57,150.8,21.69,93,90,4.61
1586647924,GB,Salisbury,51.07,-1.8,55.99,26,71,2.24
1586647924,LR,Harper,4.38,-7.72,80.49,87,81,3.51
1586647924,TH,Sai Buri,6.7,101.62,80.89,95,83,7.74
1586647924,US,Dunbar,38.36,-81.74,62.01,40,21,3.36
1586647720,MV,Malé,4.17,73.51,86.0,75,74,4.7
1586647924,ZW,Chiredzi,-21.05,31.67,66.76,84,62,5.26
1586647924,NO,Finnsnes,69.23,17.98,32.0,100,92,14.99
1586647924,ID,Sabang,5.89,95.32,83.26,42,74,6.67
1586647814,AO,Luanda,-8.84,13.23,78.6,66,84,2.57
1586647924,ES,Agüimes,27.91,-15.45,66.2,40,72,19.46
1586647924,AU,Alyangula,-13.85,136.42,84.2,85,79,3.36
1586647925,RU,Chokurdakh,70.63,147.92,29.12,99,98,13.47
1586647662,MU,Bambous Virieux,-20.34,57.76,79.0,75,83,5.82
1586647637,CA,Revelstoke,50.98,-118.2,48.2,1,18,18.34
1586647925,US,Fortuna,40.6,-124.16,57.0,75,87,13.87
1586647925,AR,Bermejo,-32.88,-68.8,69.8,64,64,3.36
1586647925,CN,Yantongshan,43.29,126.01,47.39,0,42,7.85
1586647925,IR,Sarakhs,36.54,61.16,55.4,100,100,6.93
1586647925,GL,Narsaq,60.92,-46.05,46.4,100,39,38.03
1586647671,TC,Cockburn Town,21.46,-71.14,79.41,0,78,13.27
1586647925,CN,Gaozhou,21.94,110.85,63.72,54,71,6.78
1586647925,RU,Belaya Gora,68.53,146.42,28.56,100,94,9.95
1586647626,RU,Severo-Kuril'sk,50.68,156.12,30.7,63,93,8.39
1586647925,RU,Ryl'sk,51.57,34.68,33.55,4,82,10.92
1586647927,SO,Eyl,7.98,49.82,82.45,27,72,8.16
1586647927,RU,Sangar,63.92,127.47,32.29,99,94,7.25
1586647927,RU,Koslan,63.46,48.9,20.59,92,94,1.23
1586647666,US,Midland,32.0,-102.08,84.2,40,21,14.99
1586647927,RU,Novosmolinskiy,56.28,43.05,39.0,100,64,11.18
1586647821,US,Grand Forks,47.93,-97.03,37.4,75,55,13.87
1586647927,IN,Dhamtari,20.71,81.55,77.09,0,16,2.57
1586647928,UZ,Yangi Marg`ilon,40.43,71.72,53.6,90,76,6.93
1586647928,IS,Olafsvik,64.89,-23.71,35.37,54,84,29.15
1586647928,AU,Corowa,-36.03,146.38,52.0,0,76,2.24
1586647928,EG,Abnūb,27.27,31.15,59.0,0,41,6.93
1586647928,GA,Kango,0.19,10.1,73.6,92,93,1.07
1586647866,GA,Gamba,-2.65,10.0,77.4,100,88,10.69
1586647928,TZ,Micheweni,-4.97,39.83,81.66,100,80,8.55
1586647929,RU,Novikovo,51.15,37.89,34.93,45,76,12.24
1586647929,RU,Shestakovo,56.49,103.96,32.92,37,79,3.2
1586647841,CA,Hearst,49.68,-83.67,34.81,96,83,8.3
1586647929,GB,Caernarfon,53.14,-4.27,51.8,35,87,8.05
1586647930,JP,Shingū,33.73,135.98,53.6,75,62,3.36
1586647930,RU,Polunochnoye,60.87,60.42,32.0,100,91,0.11
1586647930,TD,Biltine,14.53,20.92,77.86,58,15,11.92
1586647796,NZ,Ahipara,-35.17,173.17,68.47,93,74,16.51
1586647930,NG,Lafia,8.48,8.52,78.93,93,68,2.53
1586647852,SO,Bosaso,11.28,49.18,82.4,10,68,8.68
1586647931,IT,Iglesias,39.31,8.54,55.99,0,87,3.36
1586647821,US,Nantucket,41.28,-70.1,48.99,20,64,17.22
1586647931,LY,Awjilah,29.11,21.29,59.52,14,50,8.84
1586647644,US,Eureka,40.8,-124.16,57.0,1,71,19.46
1586647740,ID,Lhokseumawe,5.18,97.15,79.29,79,78,3.58
1586647931,RU,Arman',59.7,150.17,23.41,88,92,4.03
